threshold,precision,recall,f1,accuracy
0.0,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.05555555555555555,0.6510067114093959,0.9509803921568627,0.7729083665338645,0.6902173913043478
0.1111111111111111,0.6992481203007519,0.9117647058823529,0.7914893617021277,0.7336956521739131
0.16666666666666666,0.717741935483871,0.8725490196078431,0.7876106194690267,0.7391304347826086
0.2222222222222222,0.7478260869565218,0.8431372549019608,0.7926267281105991,0.7554347826086957
0.2777777777777778,0.7818181818181819,0.8431372549019608,0.8113207547169811,0.782608695652174
0.3333333333333333,0.7850467289719626,0.8235294117647058,0.8038277511961723,0.7771739130434783
0.38888888888888884,0.803921568627451,0.803921568627451,0.8039215686274509,0.782608695652174
0.4444444444444444,0.826530612244898,0.7941176470588235,0.8099999999999999,0.7934782608695652
0.5,0.8651685393258427,0.7549019607843137,0.806282722513089,0.7989130434782609
0.5555555555555556,0.8928571428571429,0.7352941176470589,0.806451612903226,0.8043478260869565
0.611111111111111,0.9135802469135802,0.7254901960784313,0.8087431693989071,0.8097826086956522
0.6666666666666666,0.9358974358974359,0.7156862745098039,0.8111111111111112,0.8152173913043478
0.7222222222222222,0.9452054794520548,0.6764705882352942,0.7885714285714286,0.7989130434782609
0.7777777777777777,0.96875,0.6078431372549019,0.7469879518072288,0.7717391304347826
0.8333333333333333,0.9814814814814815,0.5196078431372549,0.6794871794871795,0.7282608695652174
0.8888888888888888,0.9782608695652174,0.4411764705882353,0.6081081081081081,0.6847826086956522
0.9444444444444444,1.0,0.28431372549019607,0.44274809160305345,0.6032608695652174
1.0,0.0,0.0,0.0,0.44565217391304346
