threshold,precision,recall,f1,accuracy
0.0,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.05555555555555555,0.5882352941176471,0.9803921568627451,0.7352941176470589,0.6086956521739131
0.1111111111111111,0.6620689655172414,0.9411764705882353,0.7773279352226721,0.7010869565217391
0.16666666666666666,0.6834532374100719,0.9313725490196079,0.7883817427385892,0.7228260869565217
0.2222222222222222,0.7054263565891473,0.8921568627450981,0.7878787878787878,0.7336956521739131
0.2777777777777778,0.7258064516129032,0.8823529411764706,0.7964601769911503,0.75
0.3333333333333333,0.7565217391304347,0.8529411764705882,0.8018433179723502,0.7663043478260869
0.38888888888888884,0.7727272727272727,0.8333333333333334,0.8018867924528302,0.7717391304347826
0.4444444444444444,0.794392523364486,0.8333333333333334,0.8133971291866029,0.7880434782608695
0.5,0.8181818181818182,0.7941176470588235,0.8059701492537314,0.7880434782608695
0.5555555555555556,0.8404255319148937,0.7745098039215687,0.806122448979592,0.7934782608695652
0.611111111111111,0.8651685393258427,0.7549019607843137,0.806282722513089,0.7989130434782609
0.6666666666666666,0.8888888888888888,0.7058823529411765,0.7868852459016393,0.7880434782608695
0.7222222222222222,0.8947368421052632,0.6666666666666666,0.7640449438202247,0.7717391304347826
0.7777777777777777,0.9264705882352942,0.6176470588235294,0.7411764705882353,0.7608695652173914
0.8333333333333333,0.9827586206896551,0.5588235294117647,0.7125000000000001,0.75
0.8888888888888888,0.9787234042553191,0.45098039215686275,0.6174496644295302,0.6902173913043478
0.9444444444444444,1.0,0.18627450980392157,0.3140495867768595,0.5489130434782609
1.0,0.0,0.0,0.0,0.44565217391304346
