threshold,precision,recall,f1,accuracy
0.0,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.05555555555555555,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.1111111111111111,0.5698324022346368,1.0,0.7259786476868327,0.5815217391304348
0.16666666666666666,0.6387096774193548,0.9705882352941176,0.7704280155642023,0.6793478260869565
0.2222222222222222,0.6712328767123288,0.9607843137254902,0.7903225806451611,0.717391304347826
0.2777777777777778,0.6811594202898551,0.9215686274509803,0.7833333333333333,0.717391304347826
0.3333333333333333,0.7022900763358778,0.9019607843137255,0.7896995708154506,0.7336956521739131
0.38888888888888884,0.7787610619469026,0.8627450980392157,0.8186046511627907,0.7880434782608695
0.4444444444444444,0.84375,0.7941176470588235,0.8181818181818182,0.8043478260869565
0.5,0.8709677419354839,0.7941176470588235,0.8307692307692308,0.8206521739130435
0.5555555555555556,0.9176470588235294,0.7647058823529411,0.8342245989304812,0.8315217391304348
0.611111111111111,0.9367088607594937,0.7254901960784313,0.8176795580110497,0.8206521739130435
0.6666666666666666,0.9594594594594594,0.696078431372549,0.8068181818181818,0.8152173913043478
0.7222222222222222,0.9692307692307692,0.6176470588235294,0.7544910179640718,0.7771739130434783
0.7777777777777777,1.0,0.5294117647058824,0.6923076923076924,0.7391304347826086
0.8333333333333333,1.0,0.39215686274509803,0.5633802816901409,0.6630434782608695
0.8888888888888888,1.0,0.10784313725490197,0.19469026548672566,0.5054347826086957
0.9444444444444444,0.0,0.0,0.0,0.44565217391304346
1.0,0.0,0.0,0.0,0.44565217391304346
