threshold,precision,recall,f1,accuracy
0.0,0.5543478260869565,1.0,0.7132867132867133,0.5543478260869565
0.05555555555555555,0.5674157303370787,0.9901960784313726,0.7214285714285714,0.5760869565217391
0.1111111111111111,0.6242038216560509,0.9607843137254902,0.7567567567567567,0.657608695652174
0.16666666666666666,0.6575342465753424,0.9411764705882353,0.7741935483870968,0.6956521739130435
0.2222222222222222,0.676056338028169,0.9411764705882353,0.7868852459016393,0.717391304347826
0.2777777777777778,0.6962962962962963,0.9215686274509803,0.7932489451476793,0.7336956521739131
0.3333333333333333,0.71875,0.9019607843137255,0.8,0.75
0.38888888888888884,0.7222222222222222,0.8921568627450981,0.7982456140350878,0.75
0.4444444444444444,0.7377049180327869,0.8823529411764706,0.8035714285714285,0.7608695652173914
0.5,0.7727272727272727,0.8333333333333334,0.8018867924528302,0.7717391304347826
0.5555555555555556,0.8181818181818182,0.7941176470588235,0.8059701492537314,0.7880434782608695
0.611111111111111,0.8651685393258427,0.7549019607843137,0.806282722513089,0.7989130434782609
0.6666666666666666,0.8780487804878049,0.7058823529411765,0.782608695652174,0.782608695652174
0.7222222222222222,0.8974358974358975,0.6862745098039216,0.7777777777777778,0.782608695652174
0.7777777777777777,0.8933333333333333,0.6568627450980392,0.7570621468926553,0.7663043478260869
0.8333333333333333,0.9117647058823529,0.6078431372549019,0.7294117647058823,0.75
0.8888888888888888,0.9333333333333333,0.5490196078431373,0.6913580246913581,0.7282608695652174
0.9444444444444444,1.0,0.10784313725490197,0.19469026548672566,0.5054347826086957
1.0,0.0,0.0,0.0,0.44565217391304346
